0,1,2,pobierz,0,0,0,2021,11,17,14,8,53
5,2,2,umiesc,20,1,1,1970,1,1,0,0,0
30,2,2,wyjmij,0,1,1,1970,1,1,0,0,0
31,3,2,umiesc,5,1,1,1970,1,1,0,0,0
41,3,2,wyjmij,0,1,1,1970,1,1,0,0,0
42,4,2,umiesc,5,1,1,1970,1,1,0,0,0
52,4,2,wyjmij,0,1,1,1970,1,1,0,0,0
55,7,2,umiesc,20,1,1,1970,1,1,0,0,0
80,7,2,wyjmij,0,1,1,1970,1,1,0,0,0
81,8,2,umiesc,5,1,1,1970,1,1,0,0,0
91,8,2,wyjmij,0,1,1,1970,1,1,0,0,0
97,14,2,umiesc,30,1,1,1970,1,1,0,0,0
132,14,2,wyjmij,0,1,1,1970,1,1,0,0,0
136,18,2,umiesc,1,5,1,1970,1,1,0,0,0
142,1,3,pobierz,0,0,0,2021,11,17,14,11,15
147,2,3,umiesc,15,1,1,1970,1,1,0,0,0
167,2,3,wyjmij,0,1,1,1970,1,1,0,0,0
168,3,3,umiesc,5,1,1,1970,1,1,0,0,0
178,3,3,wyjmij,0,1,1,1970,1,1,0,0,0
179,4,3,umiesc,5,1,1,1970,1,1,0,0,0
189,4,3,wyjmij,0,1,1,1970,1,1,0,0,0
192,7,3,umiesc,15,1,1,1970,1,1,0,0,0
212,7,3,wyjmij,0,1,1,1970,1,1,0,0,0
213,8,3,umiesc,5,1,1,1970,1,1,0,0,0
223,8,3,wyjmij,0,1,1,1970,1,1,0,0,0
229,14,3,umiesc,45,1,1,1970,1,1,0,0,0
279,14,3,wyjmij,0,1,1,1970,1,1,0,0,0
283,18,3,umiesc,1,5,1,1970,1,1,0,0,0
